순위	관광지명	상세주소	중분류 카테고리	소분류 카테고리
1	여의도한강공원	서울 영등포구 여의도동 8	자연관광지	공원
2	반포한강공원	서울 서초구 반포동 115-5	자연관광지	공원
3	올림픽공원	서울 송파구 방이동 88	자연관광지	공원
4	하늘공원	서울 마포구 상암동 482	자연관광지	공원
5	세빛섬	서울 서초구 반포동 650	자연관광지	섬
6	잠원한강공원	서울 서초구 잠원동 121	자연관광지	공원
7	잠실한강공원	서울 송파구 잠실동	자연관광지	공원
8	뚝섬한강공원	서울 광진구 자양동 704-1	자연관광지	공원
9	북서울꿈의숲	서울 강북구 번동 28-6	자연관광지	공원
10	서울숲	서울 성동구 성수동1가 685-20	자연관광지	공원
11	난지한강공원	서울 마포구 상암동 487-116	자연관광지	공원
12	선유도공원	서울 영등포구 당산동 1	자연관광지	공원
13	양화한강공원	서울 영등포구 당산동 98-1	자연관광지	공원
14	광나루한강공원	서울 강동구 암사동 637-6	자연관광지	공원
15	낙산공원	서울 종로구 동숭동 2-10	자연관광지	공원
16	보라매공원	서울 동작구 신대방동 395	자연관광지	공원
17	망원한강공원	서울 마포구 망원동 205-4	자연관광지	공원
18	이촌한강공원	서울 용산구 이촌동 302-17	자연관광지	공원
19	푸른수목원	서울 구로구 항동 81-1	자연관광지	산림욕장
20	고척근린공원	서울 구로구 고척동 9-14	자연관광지	공원
21	강서한강공원	서울 강서구 방화동 47	자연관광지	공원
22	이랜드크루즈 여의도선착장	서울 영등포구 여의도동 85-1	자연관광지	항구
23	선유도	서울 영등포구 양화동 95	자연관광지	섬
24	불암산종합스타디움	서울 노원구 공릉동 141	자연관광지	공원
25	용마폭포공원	서울 중랑구 면목동 1-4	자연관광지	공원
26	도산공원	서울 강남구 신사동 649-9	자연관광지	공원
27	평화의공원	서울 마포구 상암동	자연관광지	공원
28	양재시민의숲	서울 서초구 양재동 236	자연관광지	공원
29	망원유수지체육공원	서울 마포구 망원동 450-3	자연관광지	공원
30	용산가족공원	서울 용산구 용산동6가 68-90	자연관광지	공원
31	양천해누리체육공원	서울 양천구 신정동 330-4	자연관광지	공원
32	석촌호수 동호	서울 송파구 잠실동 47	자연관광지	호수
33	월드컵공원	서울 마포구 상암동 487-359	자연관광지	공원
